"id","symbol","name","sector","price","price_earnings","dividend_yield","earnings_share","low_52_week","high_52_week","market_cap","ebitda","price_sales","price_book","sec_filings"
"164","EBAY","eBay Inc.","Information Technology","41.02","24.86","0.0","-1.07","46.99","31.89","44216696399.0","2941000000.0","4.672019","3.8","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY"
"165","ECL","Ecolab Inc.","Materials","127.76","28.08","1.231971","4.14","140.5","119.61","38460272282.0","2848600000.0","3.736069","5.28","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL"
"166","EIX","Edison Int'l","Utilities","58.07","13.23","4.05428","3.96","83.38","58.76","19447670886.0","4284000000.0","2.161095","1.59","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EIX"
"167","EW","Edwards Lifesciences","Health Care","123.78","32.57","0.0","2.88","138.48","89.2","27447099863.0","1156700000.0","7.828328","8.48","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW"
"168","EA","Electronic Arts","Information Technology","116.54","34.48","0.0","3.07","131.01","81.27","37890226992.0","1560000000.0","7.441582","8.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA"
"169","EMR","Emerson Electric Company","Industrials","66.4","25.74","2.813225","2.35","74.45","56.77","44040298425.0","2542000000.0","3.670775","5.01","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR"
"170","ETR","Entergy Corp.","Utilities","72.02","10.65","4.892126","-3.26","87.95","69.63","13116894887.0","880700000.0","1.554312","1.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR"
"171","EVHC","Envision Healthcare","Health Care","35.34","10.91","0.0","-0.48","73.0","23.77","4212729247.0","827200000.0","1.227099","0.64","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EVHC"
"172","EOG","EOG Resources","Energy","101.04","246.44","0.63339","-1.98","119.0","81.99","61164030149.0","3692749000.0","8.02302","4.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG"
"173","EQT","EQT Corporation","Energy","46.25","53.16","0.251836","-2.69","67.84","47.13","12638828950.0","1518305000.0","6.498731","2.15","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQT"
"174","EFX","Equifax Inc.","Industrials","114.0","19.03","1.326531","4.04","147.02","90.72","14121334618.0","1141200000.0","5.633806","4.59","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX"
"175","EQIX","Equinix","Real Estate","409.98","23.06","1.877582","1.77","495.35","361.9","33333813618.0","1687152000.0","10.639136","5.14","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX"
"176","EQR","Equity Residential","Real Estate","55.26","17.6","3.543792","1.63","70.46","56.07","20925508143.0","1710686000.0","8.593619","2.09","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR"
"177","ESS","Essex Property Trust, Inc.","Real Estate","218.28","18.66","3.21381","6.27","270.04","214.03","14383525286.0","1237886000.0","14.183085","2.3","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS"
"178","EL","Estee Lauder Cos.","Consumer Staples","131.46","37.78","1.12835","3.35","138.74","81.69","49543264457.0","2478000000.0","3.952258","10.82","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL"
"179","RE","Everest Re Group Ltd.","Financials","241.06","27.24","2.107823","23.71","277.17","208.81","10131892523.0","0.0","2.099199","1.16","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RE"
"180","ES","Eversource Energy","Utilities","56.11","18.22","3.339778","2.96","66.15","55.2","18027633617.0","2738713000.0","3.113419","1.68","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES"
"181","EXC","Exelon Corp.","Utilities","35.98","14.51","3.817427","1.23","42.67","33.3","34734816899.0","8548000000.0","1.393387","1.26","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC"
"182","EXPE","Expedia Inc.","Consumer Discretionary","123.03","30.99","0.927859","1.81","161.0","115.55","19722178609.0","1481458000.0","2.50749","4.14","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPE"
"183","EXPD","Expeditors International","Industrials","60.36","25.26","1.352004","2.36","67.54","51.96","11040678071.0","721643000.0","2.190319","5.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD"
"184","ESRX","Express Scripts","Health Care","73.35","10.72","0.0","5.39","83.49","55.8","42449656350.0","7309300000.0","0.575884","2.65","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESRX"
"185","EXR","Extra Space Storage","Real Estate","77.56","18.12","3.879632","2.92","88.56","71.34","10133547517.0","717468000.0","12.204818","4.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR"
"186","XOM","Exxon Mobil Corp.","Energy","76.07","21.37","4.00312","1.88","89.3","76.05","326148660000.0","39052000000.0","1.770194","1.85","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM"
"187","FFIV","F5 Networks","Information Technology","137.25","21.21","0.0","6.51","149.5","114.63","8744185796.0","629940000.0","4.12036","6.86","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV"
"188","FB","Facebook, Inc.","Information Technology","171.58","27.9","0.0","5.39","195.32","132.44","523423036576.0","23624000000.0","13.241967","7.08","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB"
"189","FAST","Fastenal Co","Industrials","52.15","27.02","2.779865","2.01","57.82","39.79","15311373377.0","1009600000.0","3.472977","7.39","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST"
"190","FRT","Federal Realty Investment Trust","Real Estate","108.11","18.35","3.592599","3.5","143.79","109.74","8077368506.0","540767000.0","12.898601","3.98","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT"
"191","FDX","FedEx Corporation","Industrials","239.27","19.45","0.796337","11.07","274.66","182.89","67280478816.0","8062000000.0","1.075168","3.9","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX"
"192","FIS","Fidelity National Information Services","Information Technology","92.74","22.08","1.322724","1.72","103.65","77.63","32308459680.0","2782000000.0","4.703842","3.25","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS"
"193","FITB","Fifth Third Bancorp","Financials","31.1","16.9","1.978973","2.85","33.91","23.2","22437653700.0","0.0","2.880285","1.46","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB"
"194","FE","FirstEnergy Corp","Utilities","30.64","11.18","4.673807","-14.49","35.22","27.93","13706075072.0","-5067000000.0","1.299448","2.19","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE"
"195","FISV","Fiserv Inc","Information Technology","133.05","27.32","0.0","4.14","144.2","106.2","26918949723.0","1911000000.0","6.518713","11.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FISV"
"196","FLIR","FLIR Systems","Information Technology","46.46","25.53","1.239669","1.21","52.88","33.75","6706992926.0","375267000.0","5.137961","3.52","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLIR"
"197","FLS","Flowserve Corporation","Industrials","40.82","26.17","1.829122","1.12","51.92","37.51","5427884956.0","463066000.0","2.080304","3.15","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS"
"198","FLR","Fluor Corp.","Industrials","55.31","19.9","1.472651","1.99","62.09","37.04","7978485059.0","709756000.0","0.55164","2.4","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLR"
"199","FMC","FMC Corporation","Materials","80.87","32.48","0.785995","1.56","98.7","56.53","11273961835.0","557800000.0","6.008904","5.26","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC"
"200","FL","Foot Locker Inc","Consumer Discretionary","45.88","9.5","2.582795","4.91","77.86","28.42","5819080328.0","957000000.0","1.036295","0.0","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FL"
"201","F","Ford Motor","Consumer Discretionary","10.43","5.89","6.784387","1.9","13.48","10.19","42414328338.0","9281000000.0","0.270541","1.26","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F"
"202","FTV","Fortive Corp","Industrials","69.14","25.05","0.390571","2.46","76.68","54.88","24916503061.0","1508300000.0","5.168267","7.17","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV"
"203","FBHS","Fortune Brands Home & Security","Industrials","62.44","20.27","1.26183","3.04","73.62","55.25","9624169008.0","814500000.0","1.843457","3.76","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FBHS"
"204","BEN","Franklin Resources","Financials","38.0","12.67","2.332657","3.0","47.65","37.01","21759187973.0","2711300000.0","3.399101","1.83","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN"
"205","FCX","Freeport-McMoRan Inc.","Materials","17.16","14.67","1.119821","1.24","20.25","11.05","25853969330.0","5347000000.0","1.653835","3.66","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX"
"206","GPS","Gap Inc.","Consumer Discretionary","31.17","15.35","2.820356","1.69","35.68","21.02","12684517721.0","1959000000.0","1.128974","3.93","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPS"
"207","GRMN","Garmin Ltd.","Consumer Discretionary","61.13","21.23","3.233989","2.69","64.96","48.5","11840331607.0","736798000.0","5.319881","3.14","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN"
"208","IT","Gartner Inc","Information Technology","114.26","36.86","0.0","2.31","142.16","97.96","10828314389.0","234935000.0","4.894499","13.47","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IT"
"209","GD","General Dynamics","Industrials","206.05","20.71","1.563154","9.55","229.54","181.94","64180390701.0","4618000000.0","2.048136","5.45","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD"
"210","GE","General Electric","Industrials","14.45","13.76","3.147541","-0.72","30.59","14.71","132249296250.0","-206000000.0","1.088761","1.7","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE"
"211","GGP","General Growth Properties Inc.","Real Estate","21.62","13.86","4.005462","1.34","25.72","18.83","21018887283.0","1740540000.0","17.003777","2.57","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GGP"
"212","GIS","General Mills","Consumer Staples","53.99","17.53","3.586459","2.77","63.73","49.65","31098243069.0","3107600000.0","2.038918","7.26","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS"
"213","GM","General Motors","Consumer Discretionary","40.75","6.58","3.585751","6.0","46.76","31.92","61536606173.0","23541000000.0","0.563322","1.33","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM"
"214","GPC","Genuine Parts","Consumer Discretionary","96.31","21.17","2.719855","4.6","107.75","79.86","14554321748.0","1201517000.0","1.212236","4.33","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC"
"215","GILD","Gilead Sciences","Health Care","78.22","8.16","2.754954","9.95","89.54","63.76","108106822109.0","17590000000.0","5.208746","4.12","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD"
"216","GPN","Global Payments Inc.","Information Technology","100.59","27.86","0.037622","1.58","113.26","76.47","16920023264.0","960345000.0","5.775833","4.73","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPN"
"217","GS","Goldman Sachs Group","Financials","246.35","12.44","1.166861","8.61","273.79","209.62","96978500251.0","0.0","2.309415","1.25","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS"
"218","GT","Goodyear Tire & Rubber","Consumer Discretionary","30.75","9.92","1.67314","4.74","37.2","28.81","8244568238.0","2044000000.0","0.72726","1.65","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT"
"219","GWW","Grainger (W.W.) Inc.","Industrials","258.6","22.57","1.970064","10.02","298.15","155.0","14639308205.0","1279846000.0","1.399515","8.1","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW"
"220","HAL","Halliburton Co.","Energy","47.41","38.86","1.448984","-0.53","57.86","38.18","43356557470.0","2910000000.0","2.142422","4.74","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL"
"221","HBI","Hanesbrands Inc","Consumer Discretionary","19.57","10.04","2.73224","1.41","25.73","18.9","8006268615.0","926153000.0","1.633977","6.17","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBI"
"222","HOG","Harley-Davidson","Consumer Discretionary","47.54","13.7","3.021865","2.98","63.4","44.52","8158949890.0","1058817000.0","1.66195","4.31","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOG"
"223","HRS","Harris Corporation","Information Technology","149.84","26.38","1.492244","4.43","160.67","104.16","18140726600.0","1368000000.0","2.951664","5.88","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRS"
"224","HIG","Hartford Financial Svc.Gp.","Financials","53.34","14.34","1.79019","2.27","59.2","46.35","19926305632.0","0.0","1.393954","1.15","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG"
"225","HAS","Hasbro Inc.","Consumer Discretionary","96.48","20.57","2.230483","4.34","116.2","87.92","12732072001.0","1028425000.0","3.237568","5.82","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS"
"226","HCA","HCA Holdings","Health Care","95.97","14.07","1.422764","5.94","106.84","71.18","34449052800.0","8202000000.0","0.725192","0.0","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA"
"227","HCP","HCP Inc.","Real Estate","22.64","10.99","6.330197","1.33","33.67","22.8","10967755538.0","1412684000.0","8.127109","1.97","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCP"
"228","HP","Helmerich & Payne","Energy","64.87","-54.51","4.149993","-1.2","75.02","42.16","7345243806.0","483673000.0","3.738586","1.62","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HP"
"229","HSIC","Henry Schein","Health Care","70.85","19.85","0.0","3.1","93.5","65.28","11452961984.0","1033985000.0","1.262194","3.74","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC"
"230","HES","Hess Corporation","Energy","43.0","-9.33","2.26706","-19.94","55.48","37.25","14016129999.0","-819000000.0","3.780475","1.08","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES"
"231","HPE","Hewlett Packard Enterprise","Information Technology","15.04","11.57","1.928021","0.21","24.88","12.82","24800859640.0","3683000000.0","1.460977","1.06","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE"
"232","HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary","78.66","36.42","0.731529","1.05","88.11","55.79","26242415796.0","2815000000.0","3.762845","17.67","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT"
"233","HOLX","Hologic","Health Care","38.8","19.21","0.0","2.64","46.8","35.76","11181493750.0","1561000000.0","4.80335","4.0","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX"
"234","HD","Home Depot","Consumer Discretionary","181.22","28.1","1.861049","6.46","207.61","136.82","223378633329.0","16513000000.0","2.89644","84.08","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD"
"235","HON","Honeywell Int'l Inc.","Industrials","146.02","20.68","1.97103","2.08","165.13","119.31","114422168609.0","8333000000.0","2.82679","5.71","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON"
"236","HRL","Hormel Foods Corp.","Consumer Staples","32.21","20.39","2.290776","1.57","38.0","29.75","17338613096.0","1422305000.0","2.517479","3.49","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL"
"237","HST","Host Hotels & Resorts","Real Estate","18.75","11.23","4.113111","1.02","21.53","17.26","14394715334.0","1547000000.0","3.554913","2.02","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST"
"238","HPQ","HP Inc.","Information Technology","19.92","12.07","2.627063","1.49","24.1","15.39","34895294088.0","3700000000.0","0.89549","0.66","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ"
"239","HUM","Humana Inc.","Health Care","262.37","22.39","0.604002","4.06","293.35","189.01","36973617235.0","0.0","0.92569","3.33","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM"
"240","HBAN","Huntington Bancshares","Financials","15.1","15.41","2.813299","1.0","16.53","12.14","16766497291.0","0.0","3.51121","1.72","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN"
"241","HII","Huntington Ingalls Industries","Industrials","225.37","18.75","1.226471","12.15","253.44","183.42","10628247899.0","1107000000.0","1.892494","6.04","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII"
"242","IDXX","IDEXX Laboratories","Health Care","169.28","53.57","0.0","2.94","198.73","140.63","15422885020.0","478307000.0","7.97525","196.21","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX"
"243","INFO","IHS Markit Ltd.","Industrials","43.73","26.19","0.0","1.0","49.19","37.82","17969275816.0","1018900000.0","5.0604","2.24","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INFO"
"244","ITW","Illinois Tool Works","Industrials","156.15","23.62","1.908957","4.86","179.07","126.52","55994378108.0","3924000000.0","3.928615","10.99","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW"
"245","ILMN","Illumina Inc","Health Care","209.54","52.25","0.0","4.92","248.97","158.02","32295200000.0","1192000000.0","11.713953","10.89","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ILMN"
"246","INCY","Incyte","Health Care","83.92","-119.89","0.0","0.54","153.15","84.21","18220961259.0","-81686000.0","17.02699","10.25","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY"
"247","IR","Ingersoll-Rand PLC","Industrials","87.6","19.38","1.973901","5.07","97.67","77.26","22785450609.0","1987100000.0","1.614736","3.34","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR"
"248","INTC","Intel Corp.","Information Technology","42.75","12.32","2.654867","1.98","50.85","33.23","211536000000.0","26247000000.0","3.348876","3.34","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC"
"249","ICE","Intercontinental Exchange","Financials","67.0","22.95","5.429864","2.37","76.14","56.8","41373051167.0","3103000000.0","9.619987","2.62","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE"
"250","IBM","International Business Machines","Information Technology","147.59","10.67","3.899903","6.11","182.79","139.13","142433003505.0","16557000000.0","1.817167","7.7","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM"
"251","IP","International Paper","Materials","56.05","15.57","3.206751","5.14","66.94","49.6","24465996443.0","3004000000.0","1.073826","4.99","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP"
"252","IPG","Interpublic Group","Consumer Discretionary","21.34","15.46","3.380282","1.49","25.71","18.3","8277363031.0","1074900000.0","1.47129","4.01","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG"
"253","IFF","Intl Flavors & Fragrances","Materials","138.0","24.17","1.934128","5.05","157.4","116.3","11270040447.0","699963000.0","4.420881","6.34","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF"
"254","INTU","Intuit Inc.","Information Technology","152.75","40.52","0.967202","3.72","170.59","111.9","41233771565.0","1654000000.0","9.633731","33.5","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU"
"255","ISRG","Intuitive Surgical Inc.","Health Care","381.87","48.58","0.0","5.67","452.0","233.11","44866621303.0","1153700000.0","14.655261","9.48","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG"
"256","IVZ","Invesco Ltd.","Financials","31.92","11.87","3.466826","2.74","38.43","29.36","13620847614.0","1606200000.0","2.651379","1.62","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ"
"257","IQV","IQVIA Holdings Inc.","Health Care","95.23","21.74","0.0","0.76","110.67","75.94","20426488713.0","1542000000.0","2.847709","2.77","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IQV"
"258","IRM","Iron Mountain Incorporated","Real Estate","32.07","15.42","7.08258","0.46","41.53","32.05","9410249279.0","1116140000.0","3.289863","4.97","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IRM"
"259","JBHT","J. B. Hunt Transport Services","Industrials","114.81","30.62","0.813904","6.19","126.49","83.35","12945366350.0","1007309000.0","1.76974","8.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT"
"260","JEC","Jacobs Engineering Group","Industrials","62.82","19.45","0.908953","2.43","72.18","49.31","9326484316.0","409832000.0","1.212964","2.01","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC"
"261","SJM","JM Smucker","Consumer Staples","118.37","15.35","2.603689","5.1","143.68","99.57","13612394896.0","1411300000.0","2.496677","1.88","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM"
"262","JNJ","Johnson & Johnson","Health Care","126.36","17.31","2.556689","0.39","148.32","113.15","353062464971.0","22430000000.0","4.632622","4.74","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ"
"263","JCI","Johnson Controls International","Industrials","36.55","14.0","2.765957","1.71","44.37","34.51","34822224800.0","4295000000.0","1.141534","1.69","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JCI"
"264","JPM","JPMorgan Chase & Co.","Financials","107.88","15.43","1.984584","6.3","117.35","81.64","386613611000.0","0.0","3.371499","1.6","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM"
"265","JNPR","Juniper Networks","Information Technology","24.66","14.09","1.575423","0.78","30.96","23.87","9267350000.0","1115500000.0","1.854333","1.78","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR"
"266","KSU","Kansas City Southern","Industrials","103.53","19.8","1.344538","9.16","114.85","81.54","11037040988.0","1295400000.0","4.281897","2.39","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSU"
"267","K","Kellogg Co.","Consumer Staples","65.98","16.5","3.363962","1.95","76.69","58.76","22182794875.0","1827000000.0","2.317376","11.5","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=K"
"268","KEY","KeyCorp","Financials","20.08","14.66","1.987695","1.12","22.22","16.28","22589744920.0","0.0","3.270451","1.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KEY"
"269","KMB","Kimberly-Clark","Consumer Staples","111.69","17.93","3.559986","6.41","136.21","109.67","39449596000.0","4033000000.0","2.194784","151.66","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB"
"270","KIM","Kimco Realty","Real Estate","14.01","9.28","7.713499","0.8","25.15","14.33","6180487499.0","701190000.0","7.050894","1.2","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KIM"
"271","KMI","Kinder Morgan","Energy","16.8","25.07","2.891845","0.01","22.75","16.56","38612712234.0","5981000000.0","2.823936","1.07","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI"
"272","KLAC","KLA-Tencor Corp.","Information Technology","98.54","16.59","2.298851","5.88","121.65","86.33","16078622033.0","1506642000.0","4.339586","12.93","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC"
"273","KSS","Kohl's Corp.","Consumer Discretionary","60.34","16.01","3.496504","3.12","69.14","35.16","10570861198.0","2286000000.0","0.855776","2.04","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSS"
"274","KHC","Kraft Heinz Co","Consumer Staples","71.58","20.11","3.399048","2.81","97.77","72.05","89618309338.0","7832000000.0","4.678085","1.54","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KHC"
"275","KR","Kroger Co.","Consumer Staples","27.57","13.07","1.730104","2.05","34.75","19.69","25471355847.0","5342000000.0","0.279613","4.02","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR"
"276","LB","L Brands Inc.","Consumer Discretionary","47.77","12.77","4.886988","3.98","63.1","35.0","13862042842.0","2329000000.0","1.706098","1403.38","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LB"
"277","LLL","L-3 Communications Holdings","Industrials","198.79","23.14","1.444461","8.51","218.71","159.43","16229343134.0","1137000000.0","1.48846","3.12","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLL"
"278","LH","Laboratory Corp. of America Holding","Health Care","165.46","17.79","0.0","7.02","181.72","130.29","17271388000.0","1861200000.0","2.245962","2.71","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LH"
"279","LRCX","Lam Research","Information Technology","162.23","16.29","1.165297","9.22","219.7","113.2","27967534829.0","2967218000.0","3.040529","4.52","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX"
"280","LEG","Leggett & Platt","Consumer Discretionary","43.99","17.88","3.145479","2.76","54.97","42.0","6034600480.0","447000000.0","2.03029","4.89","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEG"
"281","LEN","Lennar Corp.","Consumer Discretionary","59.11","15.35","0.262683","3.38","72.17","43.65","14615967194.0","1405319000.0","1.146826","1.76","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEN"
"282","LUK","Leucadia National Corp.","Financials","23.86","15.39","1.59936","0.33","28.3","22.23","8910389431.0","2201336000.0","1.041016","0.84","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUK"
"283","LLY","Lilly (Eli) & Co.","Health Care","74.21","17.34","2.932742","-0.2","89.09","75.71","84475986228.0","3459800000.0","3.754678","5.73","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLY"
"284","LNC","Lincoln National","Financials","73.86","9.49","1.681315","9.24","86.68","61.45","17123031000.0","0.0","1.201944","1.04","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNC"
"285","LKQ","LKQ Corporation","Consumer Discretionary","38.86","21.35","0.0","1.5","43.86","27.85","12469931896.0","1065614000.0","1.723609","3.02","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LKQ"
"286","LMT","Lockheed Martin Corp.","Industrials","334.3","24.28","2.315954","6.83","361.79","256.4","98102120000.0","7115000000.0","1.878145","45.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT"
"287","L","Loews Corp.","Financials","46.05","15.99","4.513164","1.93","53.59","45.01","16111166935.0","0.0","1.580976","0.85","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L"
"288","LOW","Lowe's Cos.","Consumer Discretionary","95.01","23.87","1.641313","3.46","108.98","70.76","82909678852.0","7858000000.0","1.565338","14.1","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW"
"289","LYB","LyondellBasell","Materials","105.79","10.35","3.264714","12.25","121.95","78.01","43556650000.0","6851000000.0","1.303761","5.86","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB"
