"id","symbol","name","sector","price","price_earnings","dividend_yield","earnings_share","low_52_week","high_52_week","market_cap","ebitda","price_sales","price_book","sec_filings"
"78","BXP","Boston Properties","Real Estate","112.09","18.05","2.774406","2.93","140.13","111.87","17799878487.0","1546846000.0","6.839459","3.15","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP"
"79","BSX","Boston Scientific","Health Care","25.2","20.0","0.0","0.07","29.93","23.29","36142506007.0","1726000000.0","4.055685","4.78","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX"
"80","BHF","Brighthouse Financial Inc","Financials","55.44","22.63","0.0","-24.62","75.0","52.75","7066613254.0","0.0","1.418836","0.51","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF"
"81","BMY","Bristol-Myers Squibb","Health Care","62.69","20.83","2.554686","2.65","66.1","51.12","102506501960.0","5170000000.0","6.503231","6.75","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY"
"82","AVGO","Broadcom","Information Technology","229.57","15.94","2.948858","4.01","285.68","202.61","92791974933.0","7016000000.0","6.961893","4.4","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO"
"83","BF.B","Brown-Forman Corp.","Consumer Staples","63.33","37.04","1.121696","1.7","69.9","45.42","5498033502.0","1139000000.0","1.84114","12.36","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B"
"84","CHRW","C. H. Robinson Worldwide","Industrials","90.47","26.0","1.987685","3.57","100.18","63.41","12932483889.0","868096000.0","0.852827","9.31","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW"
"85","CA","CA, Inc.","Information Technology","32.66","14.32","3.0","1.85","36.56","30.45","14175422936.0","1613000000.0","3.374243","2.44","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA"
"86","COG","Cabot Oil & Gas","Energy","23.01","60.55","1.026958","-0.92","29.57","21.4","10808821635.0","404951000.0","8.636729","4.21","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG"
"87","CDNS","Cadence Design Systems","Information Technology","36.82","34.09","0.0","0.74","46.0","29.01","10890625200.0","455607000.0","5.751737","10.98","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS"
"88","CPB","Campbell Soup","Consumer Staples","44.83","14.84","3.125","2.89","64.23","43.5","13467193376.0","1683000000.0","2.38982","7.91","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB"
"89","COF","Capital One Financial","Financials","91.8","11.85","1.630656","3.45","106.5","76.05","47637260000.0","0.0","1.593141","0.94","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF"
"90","CAH","Cardinal Health Inc.","Health Care","66.63","12.29","2.839423","4.04","84.88","54.66","20493281175.0","1913000000.0","0.211312","3.03","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH"
"91","KMX","Carmax Inc","Consumer Discretionary","64.34","19.44","0.0","3.97","77.64","54.29","11827453706.0","1339628000.0","0.691386","3.55","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX"
"92","CCL","Carnival Corp.","Consumer Discretionary","66.76","17.48","2.604167","3.58","72.7","54.75","49180044050.0","4711000000.0","2.814778","2.0","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL"
"93","CAT","Caterpillar Inc.","Industrials","145.99","21.22","2.021511","1.26","173.24","90.34","91822049046.0","8136000000.0","2.046843","5.75","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT"
"94","CBOE","CBOE Holdings","Financials","111.15","35.06","0.942696","2.27","138.54","76.75","12998295607.0","488406000.0","8.249042","5.15","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE"
"95","CBG","CBRE Group","Real Estate","41.92","15.82","0.0","1.69","46.6","30.43","14440591731.0","1652961000.0","1.462232","3.74","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG"
"96","CBS","CBS Corp.","Consumer Discretionary","51.8","12.05","1.347305","2.81","70.1","52.75","20431395736.0","2841000000.0","2.105502","6.91","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS"
"97","CELG","Celgene Corp.","Health Care","91.02","13.27","0.0","3.58","147.17","92.85","74921079154.0","5233000000.0","5.830071","7.49","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG"
"98","CNC","Centene Corporation","Health Care","100.36","19.12","0.0","3.23","112.42","65.03","18012494506.0","2063000000.0","0.502866","2.58","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC"
"99","CNP","CenterPoint Energy","Utilities","25.85","19.73","4.210926","1.0","30.45","25.51","11362043297.0","2337000000.0","1.626262","3.21","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP"
"100","CTL","CenturyLink Inc","Telecommunication Services","16.2","8.35","12.661196","1.16","27.61","13.16","18237196861.0","5577000000.0","1.479598","1.39","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL"
"101","CERN","Cerner","Health Care","61.22","27.09","0.0","1.84","73.86","51.26","21101697598.0","1523440000.0","5.556041","4.62","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN"
"102","CF","CF Industries Holdings Inc","Materials","37.46","-59.46","3.039514","-1.2","43.98","25.04","9209106695.0","711000000.0","3.004445","2.81","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF"
"103","SCHW","Charles Schwab Corporation","Financials","48.9","29.82","0.768787","1.61","56.25","37.16","69750188843.0","0.0","7.949615","4.51","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW"
"104","CHTR","Charter Communications","Consumer Discretionary","348.65","162.92","0.0","34.08","408.83","308.3","86708878113.0","14694000000.0","2.120863","2.27","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR"
"105","CHK","Chesapeake Energy","Energy","2.82","4.7","0.0","-6.44","6.59","2.8","2626102121.0","1470000000.0","0.407652","1.84","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK"
"106","CVX","Chevron Corp.","Energy","112.3","27.52","3.885853","4.85","133.88","102.55","218978820159.0","28877000000.0","1.648986","1.71","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX"
"107","CMG","Chipotle Mexican Grill","Consumer Discretionary","266.01","45.86","0.0","0.8","499.0","263.0","7685283970.0","401293000.0","2.552385","6.11","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG"
"108","CB","Chubb Limited","Financials","140.39","17.5","1.925163","8.2","157.5","130.17","68424670566.0","0.0","2.098564","1.35","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB"
"109","CHD","Church & Dwight","Consumer Staples","47.38","24.42","1.836605","2.92","54.18","43.21","11838963451.0","868000000.0","3.168245","6.28","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD"
"110","CI","CIGNA Corp.","Health Care","189.27","18.11","0.020467","7.2","227.13","141.93","47680910480.0","0.0","1.550762","3.39","http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI"
